,taxon,sample_id,abundance,growth_rate
238,Megamonas,Cancer3,0.04541506730613317,0.4409230000098976
241,Parabacteroides,Cancer3,0.005630729889581553,19.07235624525201
242,Paraprevotella,Cancer3,0.06313802040120953,0.6621433378946859
244,Pseudomonas,Cancer3,0.002215369136884545,30.578499180539644
246,Streptococcus,Cancer3,0.004873812101146,56.268003711803296
248,Sutterella,Cancer3,0.002215369136884545,0.026369637232018656
250,Alistipes,Cancer7,0.00022344887668147338,0.14771245911406472
255,Blautia,Cancer7,0.02355881666165727,2.9603749192234314
257,Collinsella,Cancer7,0.10968546734101824,3.0068315356082707
259,Erysipelatoclostridium,Cancer7,0.0005426615576550069,0.011743823034125031
262,Lachnoclostridium,Cancer7,0.005697946355377572,3.299565390785125
263,Parabacteroides,Cancer7,0.0020575917394419006,0.8420660258931828
264,Pseudomonas,Cancer7,0.000949657725896262,0.7213447725399552
265,Streptococcus,Cancer7,0.04121514530389777,28.176236844404283
272,Dialister,Healthy1,0.11562790254020362,5.054491364550503
276,Haemophilus,Healthy1,0.006423772363344646,43.70598069380005
277,Lachnoclostridium,Healthy1,0.0006813091900517048,4.406583268654433
281,Streptococcus,Healthy1,0.006209646617899824,54.87983232908064
283,Veillonella,Healthy1,0.0069590867269566994,28.757285351553694
285,Alistipes,Healthy8,0.04151548209090277,22.840949276123627
286,Anaerostipes,Healthy8,0.03619298438694088,1.093729962831304
288,Bifidobacterium,Healthy8,0.013802409300104571,2.331073011460549
290,Blautia,Healthy8,0.018261649227830662,4.526054934858715
291,Butyricimonas,Healthy8,0.003680642480027886,1.2706012757008631
292,Collinsella,Healthy8,0.026224577670198687,5.024043889637577
293,Dorea,Healthy8,0.008894885993400723,1.461481456638042
294,Erysipelatoclostridium,Healthy8,0.0023661273085893554,0.4243379839267239
295,Faecalibacterium,Healthy8,0.01989847340765076,5.827437171463579
298,Lachnoclostridium,Healthy8,0.0004182548272758961,0.212275886045371
300,Parabacteroides,Healthy8,0.006287764236714305,2.579629116512959
301,Parasutterella,Healthy8,0.03358586263025446,0.12089153771890862
303,Roseburia,Healthy8,0.008166425502561872,0.08309465038913022
304,Streptococcus,Healthy8,0.00257644973601952,1.4619027106833409
306,Actinomyces,Healthy6,0.0019799619531573813,0.204240941918162
307,Alistipes,Healthy6,0.1134692901684458,11.31532571035315
308,Anaerostipes,Healthy6,0.04108421052801567,0.549921895343536
310,Bacteroides,Healthy6,0.16636800997780168,0.5379621095247962
311,Bifidobacterium,Healthy6,0.004454914394604108,0.16220565676984025
313,Blautia,Healthy6,0.0042264572461628725,0.20929695556006087
315,Butyricimonas,Healthy6,0.015220957514897368,0.9998323579176676
316,Dorea,Healthy6,0.018809638554995126,0.6705541772945649
317,Eggerthella,Healthy6,0.0014849714648680359,0.1256294016531432
318,Erysipelatoclostridium,Healthy6,0.02821445783249268,1.0762574760228716
319,Eubacterium,Healthy6,0.002227457197302054,0.2377033208209099
323,Hungatella,Healthy6,0.02524451490275661,0.8999401767353449
325,Lachnoclostridium,Healthy6,0.008099844353825651,0.7503648499454559
327,Odoribacter,Healthy6,0.02672948636762465,1.7558180972343538
328,Parabacteroides,Healthy6,0.03415434369196483,2.61243271441836
330,Streptococcus,Healthy6,0.004454914394604108,0.4569964463048797
333,Alistipes,Cancer5,0.013155757571143241,19.843345026128922
338,Blautia,Cancer5,0.043009207444122136,1.4172144754166274e-06
339,Butyricimonas,Cancer5,0.0007168201240687022,0.018358301842642238
342,Faecalibacterium,Cancer5,0.043487087526834604,2.7360175453120352e-06
344,Gemella,Cancer5,0.0019115203308498726,1.1386421574252992
346,Lachnoclostridium,Cancer5,0.001824633043083969,2.1822202431211206
347,Odoribacter,Cancer5,0.0019115203308498726,0.01923568406938291
348,Parabacteroides,Cancer5,0.03050467861314588,14.752864038663875
349,Paraprevotella,Cancer5,0.2661792060708448,1.9208973774335911
350,Parasutterella,Cancer5,0.0033451605789872768,1.8372469945536086e-06
352,Roseburia,Cancer5,0.02341612405291094,0.0001140783844958998
353,Slackia,Cancer5,0.008123961406111959,0.06093176155327746
354,Sutterella,Cancer5,0.0105133618196743,0.07678412769599899
356,Alistipes,Healthy2,0.0004897591899314951,0.011592574350506977
357,Anaerostipes,Healthy2,0.01110120830511389,0.1053022704404193
358,Bacteroides,Healthy2,0.009359467002070158,0.07691387641126966
359,Blautia,Healthy2,0.007525338322216627,0.11199193988376356
360,Dorea,Healthy2,0.009158496851718958,0.11732506578613401
361,Enterococcus,Healthy2,0.2114780182124196,3.9794664917251015
362,Erysipelatoclostridium,Healthy2,0.0002378830351095833,0.0042799789846716665
363,Faecalibacterium,Healthy2,0.057032457667522615,0.9124142076787686
364,Flavonifractor,Healthy2,0.0016651812457670833,0.00224202933792092
365,Haemophilus,Healthy2,0.04246212176706063,0.9142799210867568
366,Intestinibacter,Healthy2,0.23978609939046,0.2561377717330679
367,Lachnospira,Healthy2,0.00499554373730125,0.000890329059052957
368,Marvinbryantia,Healthy2,0.0033303624915341666,0.0041037649309795575
369,Parabacteroides,Healthy2,0.004301718218231632,0.08146526613722163
370,Parasutterella,Healthy2,0.007493315605951875,0.0661350983986988
371,Roseburia,Healthy2,0.029348819456644845,0.26380576957526763
372,Subdoligranulum,Healthy2,0.031222148358132813,0.041994871899467684
374,Veillonella,Healthy2,0.024561423375064482,0.4877392246067073
375,Alistipes,Healthy5,0.005675410756410263,1.477019857979031
386,Eggerthella,Healthy5,0.0028377053782051315,0.5043933071822251
388,Eubacterium,Healthy5,0.03310656274572653,9.864345250173127
389,Faecalibacterium,Healthy5,0.12805145519150654,3.4817386229145684
393,Lachnoclostridium,Healthy5,0.0017198214413364436,0.38114727246163704
396,Methanobrevibacter,Healthy5,0.0018918035854700878,0.14133755046287194
397,Parabacteroides,Healthy5,0.0018918035854700878,0.2526106043232653
398,Paraprevotella,Healthy5,0.016080330476495746,1.1998659018304318
401,Slackia,Healthy5,0.009459017927350441,0.7058178865021756
402,Streptococcus,Healthy5,0.05788918971538469,15.968988797927567
403,Veillonella,Healthy5,0.014819128086182354,2.492227882752632
405,Alistipes,Cancer6,0.010879495231905094,53.70785555527196
412,Butyricimonas,Cancer6,0.0019838023483919357,0.011730904206170572
420,Methanobrevibacter,Cancer6,0.5328798308142029,0.9965941668023774
421,Neisseria,Cancer6,0.0018312021677464015,10.04385705789486
422,Odoribacter,Cancer6,0.005798806864530272,0.018408881897775373
423,Parabacteroides,Cancer6,0.012513214812933745,19.621233100558847
424,Paraprevotella,Cancer6,0.027468032516196027,0.05493450122731456
426,Roseburia,Cancer6,0.008774510387118175,1.4102674853760652e-06
427,Streptococcus,Cancer6,0.002685763179361389,14.3727287583105
431,Veillonella,Cancer6,0.0005086672688184449,1.2661341004046132
