id	organism	seedid	kingdom	phylum	class	order	family	genus	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	phenotype	imgid	ncbiid	platform	kbaseid	species	file	taxa_id
Acinetobacter_junii_SH205	Acinetobacter junii SH205	Acinetobacter junii SH205 (575587.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Aerobe	Strictly respiratory, amino acids utilized	Negative	Opportunistic pathogen	753	1295	951	Ines Thiele	06/29/12	5.0	646206269.0	575587.0	ModelSEED		junii	agora/Acinetobacter_junii_SH205.xml	40215.0
Acinetobacter_lwoffii_WJ10621	Acinetobacter lwoffii WJ10621	Acinetobacter lwoffii WJ10621 (1046625.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Aerobe	Respiratory	Negative		798	1356	1024	Laura Kutt	04/18/16		2547132098.0	1046625.0	ModelSEED	kb|g.23426	lwoffii	agora/Acinetobacter_lwoffii_WJ10621.xml	28090.0
Acinetobacter_pittii_ANC_4052	Acinetobacter pittii ANC 4052	Acinetobacter pittii ANC 4052 (1217689.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Aerobe	Asaccharolytic	Negative		1021	1582	1146	Laura Kutt	04/18/16		2531839647.0	1217689.0	Kbase	kb|g.31207	pittii	agora/Acinetobacter_pittii_ANC_4052.xml	48296.0
Acinetobacter_radioresistens_NIPH_2130	Acinetobacter radioresistens NIPH 2130	Acinetobacter radioresistens NIPH 2130 (1217674.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Aerobe	Asaccharolytic	Negative		857	1425	1076	Laura Kutt	04/18/16		2529293102.0	1217674.0	Kbase	kb|g.31202	radioresistens	agora/Acinetobacter_radioresistens_NIPH_2130.xml	40216.0
Actinobacillus_pleuropneumoniae_L20	Actinobacillus pleuropneumoniae L20	Actinobacillus pleuropneumoniae L20 (416269.5)	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Facultative anaerobe	Saccharolytic, fermentative	Negative		772	1403	1027	Laura Kutt	06/02/16		640069302.0	416269.0	Kbase	kb|g.1403	pleuropneumoniae	agora/Actinobacillus_pleuropneumoniae_L20.xml	715.0
Actinomyces_cardiffensis_F0333	Actinomyces cardiffensis F0333	Actinomyces cardiffensis F0333 (888050.3)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	580	1065	850	chenry	04/15/16		2534682138.0	888050.0	Kbase	kb|g.32379	cardiffensis	agora/Actinomyces_cardiffensis_F0333.xml	181487.0
Actinomyces_georgiae_DSM_6843	Actinomyces georgiae  DSM 6843		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	536	1068	860	chenry	04/15/16			1120942.0	Kbase	kb|g.207006	georgiae	agora/Actinomyces_georgiae_DSM_6843.xml	52768.0
Actinomyces_graevenitzii_C83	Actinomyces graevenitzii  C83	Actinomyces graevenitzii C83 (435830.3)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	529	1032	868	chenry	04/15/16		2513237375.0	435830.0	Kbase	kb|g.26676	graevenitzii	agora/Actinomyces_graevenitzii_C83.xml	55565.0
Actinomyces_naeslundii_str_Howell_279	Actinomyces naeslundii str. Howell 279		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	668	1203	959	chenry	04/15/16		2531839542.0	1115803.0	Kbase	kb|g.24325	naeslundii	agora/Actinomyces_naeslundii_str_Howell_279.xml	1655.0
Actinomyces_odontolyticus_ATCC_17982	Actinomyces odontolyticus ATCC 17982	Actinomyces odontolyticus ATCC 17982 (411466.7)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	577	1741	1079	Ines Thiele	06/29/12	5.0	640963058.0	411466.0	Kbase		odontolyticus	agora/Actinomyces_odontolyticus_ATCC_17982.xml	1660.0
Actinomyces_oris_K20	Actinomyces oris K20		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	534	1148	927	chenry	04/15/16		649989901.0	871541.0	ModelSEED	kb|g.27961	oris	agora/Actinomyces_oris_K20.xml	544580.0
Actinomyces_turicensis_ACS_279_V_Col4	Actinomyces turicensis ACS-279-V-Col4	Actinomyces turicensis ACS-279-V-Col4 (883077.3)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	591	1129	887	chenry	04/15/16		2534682016.0	883077.0	ModelSEED	kb|g.28017	turicensis	agora/Actinomyces_turicensis_ACS_279_V_Col4.xml	131111.0
Actinomyces_urogenitalis_DSM_15434	Actinomyces urogenitalis DSM 15434	Actinomyces urogenitalis DSM 15434 (525246.3)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	690	1247	946	chenry	04/15/16			525246.0	Kbase	kb|g.1979	urogenitalis	agora/Actinomyces_urogenitalis_DSM_15434.xml	103621.0
Actinomyces_viscosus_C505	Actinomyces viscosus  C505	Actinomyces viscosus C505 (562973.4)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	722	1234	956	chenry	04/15/16			562973.0	Kbase	kb|g.2332	viscosus	agora/Actinomyces_viscosus_C505.xml	1656.0
Adlercreutzia_equolifaciens_DSM_19450	Adlercreutzia equolifaciens DSM 19450		Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	Obligate anaerobe	Asaccharolytic, nonfermentative	Positive	Commensal	590	942	813	chenry	09/09/14		2597489914.0	1384484.0	Kbase		equolifaciens	agora/Adlercreutzia_equolifaciens_DSM_19450.xml	446660.0
Aerococcus_viridans_ATCC_11563	Aerococcus viridans ATCC 11563	Aerococcus viridans ATCC 11563 (655812.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive		667	1209	941	Laura Kutt	04/17/16		647000207.0	655812.0	Kbase	kb|g.2789	viridans	agora/Aerococcus_viridans_ATCC_11563.xml	1377.0
Aeromonas_caviae_Ae398	Aeromonas caviae Ae398	Aeromonas caviae Ae398 (878320.4)	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Facultative anaerobe	Saccharolytic, fermentative	Negative		1090	1569	1122	Laura Kutt	04/18/16		651324007.0	878320.0	Kbase	kb|g.3542	caviae	agora/Aeromonas_caviae_Ae398.xml	648.0
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.5)	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Facultative anaerobe	Saccharolytic, fermentative	Negative		1105	1588	1140	Laura Kutt	04/18/16		639633004.0	380703.0	Kbase	kb|g.26547	hydrophila	agora/Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966.xml	644.0
Aeromonas_jandaei_Riv2	Aeromonas jandaei Riv2		Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Facultative anaerobe	Saccharolytic, fermentative	Negative		988	1511	1090	Laura Kutt	04/18/16		2609460199.0	1458276.0	Kbase	kb|g.239699	jandaei	agora/Aeromonas_jandaei_Riv2.xml	650.0
Aeromonas_media_WS	Aeromonas media WS		Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Facultative anaerobe	Saccharolytic, fermentative	Negative		1013	1543	1125	Laura Kutt	04/18/16			1208104.0	Kbase	kb|g.239700	media	agora/Aeromonas_media_WS.xml	651.0
Aeromonas_veronii_B565	Aeromonas veronii B565	Aeromonas veronii B565 (998088.4)	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Facultative anaerobe	Saccharolytic, non-fermentative	Negative		1084	1559	1128	Laura Kutt	04/18/16		650716006.0	998088.0	Kbase	kb|g.3886	veronii	agora/Aeromonas_veronii_B565.xml	654.0
Afipia_birgiae_34632	Afipia birgiae 34632	Afipia birgiae 34632 (1197906.5)	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Alfipia	Obligate aerobe	Respiratory	Negative		1178	1482	1113	Laura Kutt	04/18/16		2551306146.0	1197906.0	Kbase	kb|g.25402	birgiae	agora/Afipia_birgiae_34632.xml	
Aggregatibacter_aphrophilus_NJ8700	Aggregatibacter aphrophilus NJ8700	Aggregatibacter aphrophilus NJ8700 (634176.4)	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aerobe	Respiratory	Negative		730	1294	998	Laura Kutt	04/19/16		644736324.0	634176.0	Kbase	kb|g.2675	aphrophilus	agora/Aggregatibacter_aphrophilus_NJ8700.xml	732.0
Agrobacterium_tumefaciens_F2	Agrobacterium tumefaciens F2	Agrobacterium tumefaciens F2 (1050720.3)	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Aerobe	Respiratory	Negative		1290	1562	1169					1050720.0	Kbase	kb|g.23531	tumefaciens	agora/Agrobacterium_tumefaciens_F2.xml	358.0
Akkermansia_muciniphila_ATCC_BAA_835	Akkermansia muciniphila ATCC BAA-835	Akkermansia muciniphila ATCC BAA-835 (349741.6)	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	643	2274	1275	Eugen Bauer	08/03/14	4.0	642555104.0	349741.0	Kbase		muciniphila	agora/Akkermansia_muciniphila_ATCC_BAA_835.xml	239935.0
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111	Alcaligenes faecalis subsp. faecalis NBRC 13111		Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Aerobe	Respiratory	Negative		988	1531	1127	Laura Kutt	04/18/16		2600255060.0	1218102.0	Kbase	kb|g.239717	faecalis	agora/Alcaligenes_faecalis_subsp_faecalis_NBRC_13111.xml	511.0
Alcaligenes_faecalis_subsp_faecalis_NCIB_8687	Alcaligenes faecalis subsp. faecalis NCIB 8687	Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Aerobe	Respiratory	Negative		1059	1491	1103	Laura Kutt	05/30/16		2537562045.0	1156918.0	Kbase	kb|g.24921	faecalis	agora/Alcaligenes_faecalis_subsp_faecalis_NCIB_8687.xml	511.0
Alistipes_finegoldii_DSM_17242	Alistipes finegoldii DSM 17242	Alistipes finegoldii DSM 17242 (679935.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Obligate anaerobe	Saccharolytic, fermentative	Negative		668	1147	883	Laura Kutt	04/17/16		2509601035.0	679935.0	Kbase	kb|g.27343	finegoldii	agora/Alistipes_finegoldii_DSM_17242.xml	214856.0
Alistipes_indistinctus_YIT_12060	Alistipes indistinctus YIT 12060	Alistipes indistinctus YIT 12060 (742725.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Obligate anaerobe	Saccharolytic, fermentative	Negative		703	2185	1393	Laura Kutt	04/17/16		2513237277.0	742725.0	ModelSEED	kb|g.27472	indistinctus	agora/Alistipes_indistinctus_YIT_12060.xml	626932.0
Alistipes_onderdonkii_DSM_19147	Alistipes onderdonkii DSM 19147	Alistipes onderdonkii DSM 19147 (1120974.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Obligate anaerobe	Saccharolytic, fermentative	Negative		662	1101	899	Laura Kutt	04/17/16			1203611.0	ModelSEED	kb|g.29550	onderdonkii	agora/Alistipes_onderdonkii_DSM_19147.xml	328813.0
Alistipes_putredinis_DSM_17216	Alistipes putredinis DSM 17216	Alistipes putredinis DSM 17216 (445970.5)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Obligate anaerobe	Weakly saccharolytic, fermentative	Negative	Commensal	421	858	721	chenry	09/09/14			445970.0	Kbase	kb|g.1522	putredinis	agora/Alistipes_putredinis_DSM_17216.xml	28117.0
Alistipes_shahii_WAL_8301	Alistipes shahii WAL 8301	Alistipes shahii WAL 8301 (717959.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Obligate anaerobe	Saccharolytic, fermentative	Negative		668	2225	1262	Laura Kutt	04/17/16		650377904.0	717959.0	Kbase	kb|g.3099	shahii	agora/Alistipes_shahii_WAL_8301.xml	328814.0
Alloprevotella_tannerae_ATCC_51259	Alloprevotella tannerae ATCC 51259		Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Obligate anaerobe	Saccharolytic, fermentative	Negative		809	893	770	Laura Kutt	04/17/16			626522.0	Kbase	kb|g.2651	tannerae	agora/Alloprevotella_tannerae_ATCC_51259.xml	76122.0
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850	Anaerobaculum hydrogeniformans OS1, ATCC BAA-1850	Anaerobaculum hydrogeniformans ATCC BAA-1850 (592015.5)	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Anaerobaculum	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	670	1030	825	Ines Thiele	06/29/12	3.0	647000209.0	649746.0	Kbase		hydrogeniformans	agora/Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850.xml	649746.0
Anaerobiospirillum_succiniciproducens_DSM_640001	Anaerobiospirillum succiniciproducens DSM 640001		Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Vibrionaceae	Anaerobiospirillum	Anaerobe	Asaccharolytic	Negative		563	1127	919	Laura Kutt	04/19/16			1120988.0	Kbase	kb|g.207031	succiniciproducens	agora/Anaerobiospirillum_succiniciproducens_DSM_640001.xml	13335.0
Anaerococcus_hydrogenalis_DSM_7454	Anaerococcus hydrogenalis DSM 7454	Anaerococcus hydrogenalis DSM 7454 (561177.4)	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Anaerococcus	Obligate anaerobe	Weakly saccharolytic, fermentative	Positive	Commensal	582	873	696	Ines Thiele	06/29/12	4.0	642979323.0	561177.0	Kbase		hydrogenalis	agora/Anaerococcus_hydrogenalis_DSM_7454.xml	33029.0
Anaerococcus_prevotii_DSM_20548	Anaerococcus prevotii DSM 20548	Anaerococcus prevoti prevotii DSM 20548 (525919.4)	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Obligate anaerobe	Saccharolytic, fermentative	Positive		537	1060	809	Laura Kutt	04/18/16		644736326.0	525919.0	Kbase	kb|g.2043	prevotii	agora/Anaerococcus_prevotii_DSM_20548.xml	33034.0
Anaerococcus_vaginalis_ATCC_51170	Anaerococcus vaginalis ATCC 51170	Anaerococcus vaginalis ATCC 51170 (655811.4)	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Obligate anaerobe	Saccharolytic, fermentative	Positive		515	1119	859	Laura Kutt	04/18/16			655811.0	Kbase	kb|g.2788	vaginalis	agora/Anaerococcus_vaginalis_ATCC_51170.xml	33037.0
Anaerofustis_stercorihominis_DSM_17244	Anaerofustis stercorihominis DSM 17244	Anaerofustis stercorihominis DSM 17244 (445971.6)	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	587	986	847	Eugen Bauer	08/03/14	1.0	641736193.0	445971.0	ModelSEED		stercorihominis	agora/Anaerofustis_stercorihominis_DSM_17244.xml	214853.0
Anaerostipes_caccae_DSM_14662	Anaerostipes caccae DSM 14662	Anaerostipes caccae DSM 14662 (411490.6)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Obligate anaerobe	Saccharolytic, fermentative, acetate and lactate converted to butyrate	Positive	Commensal	978	1617	1221	Ines Thiele	08/06/12	4.0	641736227.0	411490.0	ModelSEED		caccae	agora/Anaerostipes_caccae_DSM_14662.xml	105841.0
Anaerostipes_hadrus_DSM_3319	Anaerostipes hadrus DSM 3319	Anaerostipes hadrus DSM 3319 (649757.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	812	1704	1227	chenry	09/10/14		2534681714.0	649757.0	Kbase	kb|g.32259	hadrus	agora/Anaerostipes_hadrus_DSM_3319.xml	649756.0
Anaerostipes_sp_3_2_56FAA	Anaerostipes sp. 3_2_56FAA	Anaerostipes sp. 3_2_56FAA (665937.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	1002	1138	942	Ines Thiele	06/29/12	3.0	649989907.0	665937.0	Kbase			agora/Anaerostipes_sp_3_2_56FAA.xml	207244.0
Anaerotruncus_colihominis_DSM_17241	Anaerotruncus colihominis DSM 17241	Anaerotruncus colihominis DSM 17241 (445972.6)	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	754	1090	887	Ines Thiele	04/20/12	4.0	641736271.0	445972.0	Kbase		colihominis	agora/Anaerotruncus_colihominis_DSM_17241.xml	169435.0
Aneurinibacillus_aneurinilyticus_ATCC_12856	Aneurinibacillus aneurinilyticus ATCC 12856		Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aerobe	Saccharolytic	Positive		1076	1510	1142	Laura Kutt	04/18/16		2563366762.0	649747.0	Kbase	kb|g.216026	aneurinilyticus	agora/Aneurinibacillus_aneurinilyticus_ATCC_12856.xml	1391.0
Arcanobacterium_haemolyticum_DSM_20595	Arcanobacterium haemolyticum DSM 20595	Arcanobacterium haemolyticum DSM 20595 (644284.3)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	510	1056	847	chenry	04/15/16		646564505.0	644284.0	Kbase	kb|g.2746	haemolyticum	agora/Arcanobacterium_haemolyticum_DSM_20595.xml	28264.0
Arcobacter_butzleri_RM4018	Arcobacter butzleri RM4018	Arcobacter butzleri RM4018 (367737.4)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Microaerophile	Non-fermentative, asaccharolytic	Negative		634	1081	902	Laura Kutt	04/18/16		640753004.0	367737.0	Kbase	kb|g.1095	butzleri	agora/Arcobacter_butzleri_RM4018.xml	28197.0
Arthrobacter_castelli_DSM_16402	Arthrobacter castelli DSM 16402		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arthrobacter	Aerobe	Asaccharolytic, nonfermentative	Positive	Uncharacterized	1019	1428	1109	chenry	04/15/16			1121019.0	Kbase	kb|g.207043	castelli	agora/Arthrobacter_castelli_DSM_16402.xml	271431.0
Atopobium_minutum_10063974	Atopobium minutum 10063974	Atopobium minutum 10063974 (997872.3)	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	468	1007	807	chenry	04/15/16		2531839302.0	997872.0	Kbase	kb|g.32451	minutum	agora/Atopobium_minutum_10063974.xml	1381.0
Atopobium_parvulum_DSM_20469	Atopobium parvulum DSM 20469	Atopobium parvulum DSM 20469 (521095.5)	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	440	994	782	chenry	04/15/16		644736327.0	521095.0	Kbase	kb|g.1956	parvulum	agora/Atopobium_parvulum_DSM_20469.xml	1382.0
Atopobium_rimae_ATCC_49626	Atopobium rimae ATCC 49626	Atopobium rimae ATCC 49626 (553184.4)	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	480	1054	853	chenry	04/15/16		643886019.0	553184.0	Kbase	kb|g.2245	rimae	agora/Atopobium_rimae_ATCC_49626.xml	1383.0
Bacillus_altitudinis_41KF2b	Bacillus altitudinis 41KF2b		Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Facultative anaerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive		969	1603	1153	Laura Kutt	04/17/16		2576861487.0	1178544.0	Kbase	kb|g.239788	altitudinis	agora/Bacillus_altitudinis_41KF2b.xml	293387.0
Bacillus_amyloliquefaciens_DSM7	Bacillus amyloliquefaciens DSM7	Bacillus amyloliquefaciens DSM7 (692420.6)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Aerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive		1101	1655	1176					692420.0	Kbase	kb|g.2986	amyloliquefaciens	agora/Bacillus_amyloliquefaciens_DSM7.xml	1390.0
Bacillus_amyloliquefaciens_subsp_amyloliquefaciens_DC_12	Bacillus amyloliquefaciens subsp. amyloliquefaciens DC-12		Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Aerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive		1022	1666	1191					1198291.0	Kbase	kb|g.207940	amyloliquefaciens	agora/Bacillus_amyloliquefaciens_subsp_amyloliquefaciens_DC_12.xml	1390.0
Bacillus_atrophaeus_ATCC_49822_1	Bacillus atrophaeus ATCC 49822-1	Bacillus atrophaeus ATCC 49822-1 (743710.3)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Aerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive		1143	1665	1177	Laura Kutt	04/17/16		2547132231.0	743710.0	Kbase	kb|g.3133	atrophaeus	agora/Bacillus_atrophaeus_ATCC_49822_1.xml	1452.0
